Наименование поставщика, Тип поставщика, ИНН, Рейтинг качества, Дата начала работы с поставщиком
ОблВектор, МКК, 1385540089, 40, 01112014 0000
Строй, ОАО, 2255810682, 54, 06042010 0000
МонтажНефтьОрион, ООО, 1298208597, 45, 13122014 0000
ХозБашкирГла, ОАО, 1708759159, 10, 07092010 0000
ДизайнТекстил, ООО, 2093683523, 69, 16.12.2012
Инфо, ООО, 1272826845, 33, 28122011 0000
ОрионБухМетал, ООО, 2193222008, 52, 09.04.2012
РыбИнфо, МФО, 1418660803, Рейтинг  71, 23.05.2013
Тех, МФО, 2148577794, 28, 15.12.2010
ЦементОрион, МКК, 1536344749, 43, 06022016 0000
ФинансСервис, ООО, 1499914719, 21, 27052016 0000
ТрансМясМясКомплекс, ООО, 1184923897, 78, 14072019 0000
ГлавСтрой, ОАО, 1107467048, 77, 01052014 0000
ИнжСофт, МФО, 2209210168, Рейтинг  99, 21072019 0000
ТелекомМетизХмель, ООО, 1001436679, Рейтинг  67, 14062013 0000
Лифт, ООО, 1226636245, Рейтинг  26, 02.12.2013
МонтажОр, ООО, 1687338212, Рейтинг  6, 18012015 0000
РыбОбл, ОАО, 2097643775, 80, 05.03.2016
ГлавСерви, ПАО, 2112058447, 20, 05112016 0000
СервисБашкирКазТраст, МФО, 1549832431, 36, 19.03.2018
Компания Нефть, ОАО, 2173203619, Рейтинг  97, 09082010 0000
РыбВостокХоз, ОАО, 1311161756, 47, 09.09.2017
Радио, ОАО, 1104637210, 27, 21082016 0000
РечСофтРе, ОАО, 1155044386, Рейтинг  77, 08082012 0000
Компания ТелекомРосКрепПром, ОАО, 1124623718, Рейтинг  71, 17062012 0000
Омск, МКК, 1567184813, 90, 01122016 0000
РосЮпитер, МФО, 2100448888, 23, 21072013 0000
БухИнфо, МКК, 2192138211, Рейтинг  91, 17122017 0000
РечТранс, МФО, 2237035085, 22, 12102019 0000
ТелекомТра, ОАО, 1144555605, Рейтинг  31, 26082010 0000
Глав, ОАО, 1859167660, 87, 24052012 0000
ЖелДорСтройВекторКомплекс, ООО, 2004254497, Рейтинг  97, 12.05.2019
Вод, ООО, 1492095710, 63, 21122017 0000
ТверьМор, МКК, 2013469587, 61, 08012017 0000
ЦементИнфоМонтаж, ОАО, 1389100819, 46, 19.06.2014
Вектор, МКК, 1009676137, 22, 20.06.2012
Компания МорКаза, ПАО, 1177669508, 6, 28052016 0000
Урал, МФО, 1439263529, 21, 06052013 0000
ГорТверьЛифт, ООО, 1865606765, Рейтинг  50, 01042015 0000
ЭлектроВод, ЗАО, 1521101623, 16, 27052017 0000
АлмазМикроМобайлПром, ООО, 1664868343, 94, 06032016 0000
Компания ТомскТверьТ, ООО, 1341807682, 26, 25122015 0000
Тверь, ООО, 1860530128, 17, 25062017 0000
УралТексти, ОАО, 1705799898, 54, 28042018 0000
ТверьЛайт, ЗАО, 1499654365, 14, 09022015 0000
ХозСервис, ОАО, 1656715446, 99, 13112015 0000
КрепМетизВектор, ОАО, 1209084074, 64, 04062016 0000
ЖелДорХ, ОАО, 2004002859, 65, 03052015 0000
ВодОбл, ОАО, 1987741499, 38, 25042019 0000
Электро, ПАО, 1827769521, 86, 03052015 0000
